bsn,name,schulform_nummer,schulform_name,bezirk_nummer,bezirk_name,plz,adresse,lon,lat,n_schueler,n_bestanden,pct_bestanden,pct_fail,abischnitt
07Y07,Eckener-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12105,Kaiserstr. 17-21,13.3807126,52.4448636,81,78,96.3,3.700000000000003,2.28333333333333
07Y08,Ulrich-von-Hutten-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12307,Rehagener Str. 35-37,13.4039263,52.3857173,104,95,91.35,8.650000000000006,2.18526315789474
07Y09,Georg-Büchner-Gymnasium,2,Gymnasien,7,Tempelhof-Schöneberg,12305,Lichtenrader Damm 224,13.4055328,52.39225889999999,74,72,97.3,2.700000000000003,2.25
08B02,Lise-Meitner-Schule (OSZ Chemie  Physik und Biologie),1,berufliche Schulen,8,Neukölln,12351,Lipschitzallee 25,13.4733399,52.42927,56,47,83.93,16.069999999999993,2.41702127659574
08B04,OSZ Informations- und Medizintechnik,1,berufliche Schulen,8,Neukölln,12359,Haarlemer Str. 23-27,13.4500956,52.4579277,34,33,97.06,2.9399999999999977,2.70909090909091
08K01,Walter-Gropius-Schule (Gemeinschaftsschule),3,ISS/Gemeinschaftsschulen,8,Neukölln,12351,Fritz-Erler-Allee 86,13.4635309,52.4293515,55,45,81.82,18.180000000000007,2.86444444444444
08K03,Otto-Hahn-Schule,3,ISS/Gemeinschaftsschulen,8,Neukölln,12359,Buschkrugallee 63,13.4493011,52.457716,40,22,55,45,2.94545454545455
08K05,Clay-Schule,3,ISS/Gemeinschaftsschulen,8,Neukölln,12355,Neudecker Weg 22,13.5161032,52.42187819999999,68,60,88.24,11.760000000000005,2.66833333333333
08K06,Fritz-Karsen-Schule (Gemeinschaftsschule),3,ISS/Gemeinschaftsschulen,8,Neukölln,12359,Onkel-Bräsig-Str. 76-78,13.44389,52.44865,76,67,88.16,11.840000000000003,2.57164179104478
08K08,Gemeinschaftsschule auf dem Campus Rütli,3,ISS/Gemeinschaftsschulen,8,Neukölln,12045,Rütlistr. 41,13.4341894,52.4878839,29,27,93.1,6.900000000000006,2.86666666666667
08P03,Evangelische Schule Neukölln (Integrierte Sekundarschule),4,Schulen in privater Trägerschaft,8,Neukölln,12053,Mainzer Str. 47,13.42761,52.48338,59,59,100,0,2.10847457627119
08P04-K,Katholische Schule Sankt Marien,4,Schulen in privater Trägerschaft,8,Neukölln,12043,Donaustr. 58,13.4431204,52.477449,35,33,94.29,5.709999999999994,2.65757575757576
08P04-Y,Katholische Schule Sankt Marien,4,Schulen in privater Trägerschaft,8,Neukölln,12043,Donaustr. 58,13.4431204,52.477449,60,59,98.33,1.6700000000000017,2.24406779661017
08Y01,Albrecht-Dürer-Gymnasium,2,Gymnasien,8,Neukölln,12051,Emser Str. 133-137,13.4396062,52.4694704,60,55,91.67,8.329999999999998,2.45090909090909
08Y02,Albert-Schweitzer-Gymnasium,2,Gymnasien,8,Neukölln,12043,Karl-Marx-Str. 14,13.4266525,52.48468159999999,68,55,80.88,19.120000000000005,2.48181818181818
08Y03,Albert-Einstein-Gymnasium,2,Gymnasien,8,Neukölln,12359,Parchimer Allee 109,13.442845,52.4455053,136,133,97.79,2.2099999999999937,2.37593984962406
08Y04,Ernst-Abbe-Gymnasium,2,Gymnasien,8,Neukölln,12045,Sonnenallee 79,13.437204,52.4834413,82,81,98.78,1.2199999999999989,2.60864197530864
08Y05,Leonardo-da-Vinci-Gymnasium,2,Gymnasien,8,Neukölln,12349,Christoph-Ruden-Str. 3,13.4359494,52.4188272,84,70,83.33,16.67,2.65571428571429
08Y06,Hannah-Arendt-Gymnasium,2,Gymnasien,8,Neukölln,12355,Elfriede-Kuhr-Str. 17,13.5083919,52.4040426,113,107,94.69,5.310000000000002,2.28411214953271
09A05,Treptow-Kolleg,5,"Kollegs, Abendgymnasien",9,Treptow-Köpenick,12437,Kiefholzstr. 274,13.4845706,52.4681568,31,28,90.32,9.680000000000007,2.10714285714286
09B03,Hermann-Scheer-Schule (OSZ Wirtschaft),1,berufliche Schulen,9,Treptow-Köpenick,12459,Helmholtzstr. 37,13.507102099999999,52.4662195,41,38,92.68,7.319999999999993,2.65526315789474
09K01,Merian-Schule (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,9,Treptow-Köpenick,12555,Hoernlestr. 80,13.5767236,52.4644226,101,97,96.04,3.9599999999999937,2.4340206185567
09K02,Anna-Seghers-Schule (Gemeinschaftsschule),3,ISS/Gemeinschaftsschulen,9,Treptow-Köpenick,12489,Radickestr. 43,13.5484835,52.4352189,92,80,86.96,13.040000000000006,2.3925
09K07,Sophie-Brahe-Gemeinschaftsschule,3,ISS/Gemeinschaftsschulen,9,Treptow-Köpenick,12435,Am Plänterwald 17-23,13.4782899,52.481807,33,29,87.88,12.120000000000005,2.67931034482759
09K08,Schule an der Dahme (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,9,Treptow-Köpenick,12557,Glienicker Str. 24-30,13.56727,52.44056,20,18,90,10,2.33333333333333
09K09,Grünauer Gemeinschaftsschule,3,ISS/Gemeinschaftsschulen,9,Treptow-Köpenick,12527,Walchenseestr. 40,13.5761058,52.4193801,49,44,89.8,10.200000000000003,2.5
09P07,Evangelische Schule Köpenick (Gymnasium),4,Schulen in privater Trägerschaft,9,Treptow-Köpenick,12557,Grüne Trift 169,13.591925,52.4234575,71,71,100,0,2.02535211267606
09Y03,Archenhold-Gymnasium,2,Gymnasien,9,Treptow-Köpenick,12439,Rudower Str. 7,13.5226437,52.4512268,99,99,100,0,2.31919191919192
09Y04,Anne-Frank-Gymnasium,2,Gymnasien,9,Treptow-Köpenick,12524,Uranusstr. 15-17,13.5258795,52.4016968,96,87,90.62,9.379999999999995,2.22873563218391
09Y05,Alexander-von-Humboldt-Gymnasium,2,Gymnasien,9,Treptow-Köpenick,12555,Oberspreestr. 173,13.5669791,52.44524999999999,78,72,92.31,7.689999999999998,2.20555555555556
09Y06,Gerhart-Hauptmann-Gymnasium,2,Gymnasien,9,Treptow-Köpenick,12587,Bruno-Wille-Str. 37-39,13.632719700000001,52.4522719,100,99,99,1,2.04646464646465
09Y10,Gebrüder-Montgolfier-Gymnasium,2,Gymnasien,9,Treptow-Köpenick,12487,Ellernweg 20-22,13.5037052,52.4484412,93,91,97.85,2.1500000000000057,2.2032967032967
09Y11,Emmy-Noether-Gymnasium,2,Gymnasien,9,Treptow-Köpenick,12559,Pablo-Neruda-Str. 6-7,13.5881833,52.4429501,82,77,93.9,6.099999999999994,2.17402597402597
10A04,Victor-Klemperer-Kolleg,5,"Kollegs, Abendgymnasien",10,Marzahn-Hellersdorf,12681,Martha-Arendsee-Str. 15,13.5388412,52.5363206,63,56,88.89,11.11,2.08214285714286
10B02,Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin),1,berufliche Schulen,10,Marzahn-Hellersdorf,12627,Peter-Weiss-Gasse 8,13.6078382,52.538658,81,80,98.77,1.230000000000004,2.4125
10K01,Rudolf-Virchow-Schule,3,ISS/Gemeinschaftsschulen,10,Marzahn-Hellersdorf,12679,Glambecker Ring 90,13.5757944,52.5554925,83,74,89.16,10.840000000000003,2.80405405405405
10K02,Ernst-Haeckel-Schule,3,ISS/Gemeinschaftsschulen,10,Marzahn-Hellersdorf,12629,Luckenwalder Str. 53,13.5861171,52.5431085,53,51,96.23,3.769999999999996,2.62352941176471
10Y01,Tagore-Gymnasium,2,Gymnasien,10,Marzahn-Hellersdorf,12687,Sella-Hasse-Str. 25,13.5566977,52.552875,87,82,94.25,5.75,2.50609756097561
10Y02,Otto-Nagel-Gymnasium,2,Gymnasien,10,Marzahn-Hellersdorf,12683,Schulstr. 11,13.5495976,52.5119606,111,111,100,0,1.97927927927928
10Y03,Wilhelm-von-Siemens-Gymnasium,2,Gymnasien,10,Marzahn-Hellersdorf,12683,Allee der Kosmonauten 134,13.5514888,52.5336076,110,99,90,10,2.36767676767677
10Y08,Sartre-Gymnasium,2,Gymnasien,10,Marzahn-Hellersdorf,12629,Kyritzer Str. 103,13.5910072,52.5430474,62,50,80.65,19.349999999999994,2.55
10Y11,Melanchthon-Gymnasium,2,Gymnasien,10,Marzahn-Hellersdorf,12627,Adele-Sandrock-Str. 73-75,13.6185536,52.5343749,122,114,93.44,6.560000000000002,2.28245614035088
11A07,Schul- und Leistungssportzentrum Berlin (Sportforum),3,ISS/Gemeinschaftsschulen,11,Lichtenberg,13053,Fritz-Lesch-Str. 35,13.4772198,52.5464706,69,66,95.65,4.349999999999994,2.34090909090909
11B02,Max-Taut-Schule (OSZ Gebäude  Umwelt  Technik),1,berufliche Schulen,11,Lichtenberg,10317,Fischerstr. 36,13.4876098,52.5002912,38,36,94.74,5.260000000000005,2.34444444444444
11K02,Mildred-Harnack-Schule,3,ISS/Gemeinschaftsschulen,11,Lichtenberg,10365,Schulze-Boysen-Str. 12,13.4812666,52.511322,65,63,96.92,3.0799999999999983,2.34603174603175
11K04,Gutenberg-Schule,3,ISS/Gemeinschaftsschulen,11,Lichtenberg,13055,Sandinostr. 10,13.4840714,52.5366272,108,102,94.44,5.560000000000002,2.57549019607843
11K05,Fritz-Reuter-Schule,3,ISS/Gemeinschaftsschulen,11,Lichtenberg,13059,Prendener Str. 29,13.5210384,52.5698139,41,34,82.93,17.069999999999993,2.65882352941176
11K08,Schule-am-Tierpark (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,11,Lichtenberg,10319,Sewanstr. 223,13.5150535,52.4965622,26,18,69.23,30.769999999999996,2.83333333333333
11K10,Grüner Campus Malchow (Gemeinschaftsschule),3,ISS/Gemeinschaftsschulen,11,Lichtenberg,13051,Malchower Chaussee 2,13.4735789,52.5667834,58,52,89.66,10.340000000000003,2.42692307692308
